2016-05-07 21:29:16,105 - INFO - Initializing main daemon.
2016-05-07 21:29:19,582 - ERROR - Unknown error occurred.
2016-05-07 21:29:21,914 - ERROR - Unknown error occurred.
2016-05-07 21:29:24,252 - ERROR - Unknown error occurred.
2016-05-07 21:29:26,569 - ERROR - Unknown error occurred.
2016-05-07 21:29:28,852 - ERROR - Unknown error occurred.
2016-05-07 21:29:31,154 - ERROR - Unknown error occurred.
2016-05-07 21:30:33,046 - INFO - Initializing main daemon.
2016-05-07 22:29:25,385 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:29:57,509 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:29:58,709 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:30:31,091 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:30:32,345 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:31:04,677 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:31:05,901 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:31:39,963 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:31:41,186 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:32:14,677 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:32:15,900 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:32:49,536 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:32:50,779 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:33:24,602 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:33:25,846 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:33:58,055 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:33:59,426 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:34:31,691 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:34:32,999 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:35:05,161 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:35:06,374 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:35:39,322 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:35:40,582 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:36:14,510 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:36:15,713 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:36:48,253 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:36:49,500 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:37:24,500 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:37:25,793 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:37:58,309 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:37:59,539 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:38:33,137 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:38:34,388 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:39:06,490 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:39:07,763 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:39:40,019 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:39:41,243 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:40:13,638 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:40:14,849 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:40:49,365 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:40:50,584 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:41:24,693 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:41:25,917 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:41:58,293 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:41:59,520 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
